age,year,num
80,1991,5
79,1991,5
80,1992,3
78,1991,5
79,1992,3
80,1993,3
77,1991,5
78,1992,3
79,1993,3
80,1994,2
76,1991,5
77,1992,3
78,1993,3
79,1994,2
80,1995,4
75,1991,5
76,1992,3
77,1993,3
78,1994,2
79,1995,4
80,1996,3
74,1991,5
75,1992,3
76,1993,3
77,1994,2
78,1995,4
79,1996,3
80,1997,3
73,1991,5
74,1992,3
75,1993,3
76,1994,2
77,1995,4
78,1996,3
79,1997,3
80,1998,2
72,1991,5
73,1992,3
74,1993,3
75,1994,2
76,1995,4
77,1996,3
78,1997,3
79,1998,2
80,1999,2
71,1991,5
72,1992,3
73,1993,3
74,1994,2
75,1995,4
76,1996,3
77,1997,3
78,1998,2
79,1999,2
80,2000,1
70,1991,5
71,1992,3
72,1993,3
73,1994,2
74,1995,4
75,1996,3
76,1997,3
77,1998,2
78,1999,2
79,2000,1
80,2001,6
69,1991,5
70,1992,3
71,1993,3
72,1994,2
73,1995,4
74,1996,3
75,1997,3
76,1998,2
77,1999,2
78,2000,1
79,2001,6
80,2002,8
68,1991,5
69,1992,3
70,1993,3
71,1994,2
72,1995,4
73,1996,3
74,1997,3
75,1998,2
76,1999,2
77,2000,1
78,2001,6
79,2002,8
80,2003,3
67,1991,5
68,1992,3
69,1993,3
70,1994,2
71,1995,4
72,1996,3
73,1997,3
74,1998,2
75,1999,2
76,2000,1
77,2001,6
78,2002,8
79,2003,3
80,2004,6
66,1991,5
67,1992,3
68,1993,3
69,1994,2
70,1995,4
71,1996,3
72,1997,3
73,1998,2
74,1999,2
75,2000,1
76,2001,6
77,2002,8
78,2003,3
79,2004,6
80,2005,3
65,1991,6
66,1992,3
67,1993,3
68,1994,2
69,1995,4
70,1996,3
71,1997,3
72,1998,2
73,1999,2
74,2000,1
75,2001,6
76,2002,8
77,2003,3
78,2004,6
79,2005,3
80,2006,3
64,1991,6
65,1992,3
66,1993,3
67,1994,2
68,1995,4
69,1996,3
70,1997,3
71,1998,2
72,1999,2
73,2000,1
74,2001,6
75,2002,8
76,2003,3
77,2004,6
78,2005,3
79,2006,3
80,2007,4
63,1991,5
64,1992,3
65,1993,3
66,1994,2
67,1995,4
68,1996,3
69,1997,3
70,1998,2
71,1999,2
72,2000,1
73,2001,6
74,2002,8
75,2003,3
76,2004,6
77,2005,3
78,2006,3
79,2007,4
80,2008,4
62,1991,5
63,1992,3
64,1993,3
65,1994,3
66,1995,4
67,1996,3
68,1997,3
69,1998,2
70,1999,2
71,2000,1
72,2001,6
73,2002,8
74,2003,3
75,2004,6
76,2005,3
77,2006,3
78,2007,4
79,2008,4
80,2009,6
61,1991,5
62,1992,3
63,1993,3
64,1994,3
65,1995,4
66,1996,3
67,1997,3
68,1998,2
69,1999,2
70,2000,1
71,2001,6
72,2002,8
73,2003,3
74,2004,6
75,2005,3
76,2006,3
77,2007,4
78,2008,4
79,2009,6
80,2010,4
60,1991,6
61,1992,3
62,1993,3
63,1994,3
64,1995,4
65,1996,3
66,1997,3
67,1998,2
68,1999,2
69,2000,1
70,2001,6
71,2002,8
72,2003,3
73,2004,6
74,2005,3
75,2006,3
76,2007,4
77,2008,4
78,2009,6
79,2010,4
80,2011,1
59,1991,6
60,1992,3
61,1993,3
62,1994,3
63,1995,4
64,1996,3
65,1997,3
66,1998,2
67,1999,2
68,2000,1
69,2001,6
70,2002,8
71,2003,3
72,2004,6
73,2005,3
74,2006,3
75,2007,4
76,2008,4
77,2009,6
78,2010,4
79,2011,1
80,2012,4
58,1991,6
59,1992,3
60,1993,3
61,1994,3
62,1995,4
63,1996,3
64,1997,4
65,1998,2
66,1999,2
67,2000,1
68,2001,6
69,2002,8
70,2003,3
71,2004,6
72,2005,3
73,2006,3
74,2007,4
75,2008,4
76,2009,6
77,2010,4
78,2011,1
79,2012,4
57,1991,7
58,1992,3
59,1993,3
60,1994,4
61,1995,4
62,1996,3
63,1997,4
64,1998,3
65,1999,3
66,2000,1
67,2001,6
68,2002,8
69,2003,3
70,2004,6
71,2005,3
72,2006,3
73,2007,4
74,2008,4
75,2009,6
76,2010,4
77,2011,1
78,2012,4
56,1991,8
57,1992,3
58,1993,3
59,1994,4
60,1995,4
61,1996,3
62,1997,4
63,1998,3
64,1999,3
65,2000,1
66,2001,6
67,2002,8
68,2003,3
69,2004,6
70,2005,3
71,2006,3
72,2007,4
73,2008,4
74,2009,6
75,2010,4
76,2011,1
77,2012,4
55,1991,9
56,1992,4
57,1993,3
58,1994,4
59,1995,4
60,1996,3
61,1997,4
62,1998,3
63,1999,3
64,2000,1
65,2001,6
66,2002,9
67,2003,3
68,2004,6
69,2005,3
70,2006,3
71,2007,4
72,2008,4
73,2009,6
74,2010,4
75,2011,1
76,2012,4
54,1991,10
55,1992,5
56,1993,3
57,1994,5
58,1995,4
59,1996,3
60,1997,4
61,1998,3
62,1999,3
63,2000,1
64,2001,6
65,2002,9
66,2003,3
67,2004,6
68,2005,4
69,2006,4
70,2007,4
71,2008,4
72,2009,6
73,2010,4
74,2011,1
75,2012,4
53,1991,11
54,1992,5
55,1993,4
56,1994,5
57,1995,5
58,1996,3
59,1997,5
60,1998,3
61,1999,3
62,2000,1
63,2001,6
64,2002,9
65,2003,3
66,2004,7
67,2005,4
68,2006,4
69,2007,4
70,2008,5
71,2009,6
72,2010,4
73,2011,1
74,2012,4
52,1991,13
53,1992,5
54,1993,4
55,1994,6
56,1995,5
57,1996,4
58,1997,5
59,1998,4
60,1999,4
61,2000,1
62,2001,6
63,2002,9
64,2003,3
65,2004,7
66,2005,4
67,2006,4
68,2007,5
69,2008,5
70,2009,8
71,2010,4
72,2011,1
73,2012,4
51,1991,14
52,1992,6
53,1993,4
54,1994,7
55,1995,6
56,1996,5
57,1997,6
58,1998,4
59,1999,4
60,2000,1
61,2001,7
62,2002,10
63,2003,3
64,2004,7
65,2005,5
66,2006,4
67,2007,5
68,2008,5
69,2009,8
70,2010,4
71,2011,1
72,2012,4
50,1991,16
51,1992,7
52,1993,4
53,1994,8
54,1995,7
55,1996,6
56,1997,7
57,1998,5
58,1999,5
59,2000,1
60,2001,7
61,2002,10
62,2003,4
63,2004,7
64,2005,5
65,2006,5
66,2007,5
67,2008,6
68,2009,9
69,2010,4
70,2011,2
71,2012,4
49,1991,18
50,1992,9
51,1993,4
52,1994,10
53,1995,8
54,1996,7
55,1997,7
56,1998,6
57,1999,6
58,2000,1
59,2001,7
60,2002,10
61,2003,4
62,2004,8
63,2005,5
64,2006,5
65,2007,6
66,2008,6
67,2009,9
68,2010,4
69,2011,2
70,2012,4
48,1991,21
49,1992,10
50,1993,5
51,1994,11
52,1995,9
53,1996,10
54,1997,9
55,1998,7
56,1999,7
57,2000,1
58,2001,7
59,2002,12
60,2003,4
61,2004,8
62,2005,6
63,2006,6
64,2007,6
65,2008,7
66,2009,10
67,2010,4
68,2011,3
69,2012,4
47,1991,24
48,1992,11
49,1993,5
50,1994,12
51,1995,10
52,1996,11
53,1997,10
54,1998,7
55,1999,8
56,2000,1
57,2001,7
58,2002,12
59,2003,3
60,2004,8
61,2005,7
62,2006,7
63,2007,6
64,2008,8
65,2009,11
66,2010,4
67,2011,3
68,2012,4
46,1991,27
47,1992,14
48,1993,6
49,1994,14
50,1995,12
51,1996,15
52,1997,12
53,1998,8
54,1999,10
55,2000,1
56,2001,8
57,2002,14
58,2003,3
59,2004,9
60,2005,8
61,2006,7
62,2007,7
63,2008,9
64,2009,12
65,2010,4
66,2011,4
67,2012,4
45,1991,31
46,1992,16
47,1993,6
48,1994,17
49,1995,15
50,1996,19
51,1997,13
52,1998,10
53,1999,12
54,2000,1
55,2001,10
56,2002,15
57,2003,4
58,2004,11
59,2005,10
60,2006,8
61,2007,8
62,2008,10
63,2009,13
64,2010,4
65,2011,5
66,2012,4
44,1991,36
45,1992,20
46,1993,7
47,1994,19
48,1995,17
49,1996,24
50,1997,15
51,1998,11
52,1999,15
53,2000,1
54,2001,11
55,2002,18
56,2003,4
57,2004,11
58,2005,11
59,2006,10
60,2007,9
61,2008,11
62,2009,15
63,2010,3
64,2011,6
65,2012,4
43,1991,40
44,1992,24
45,1993,8
46,1994,22
47,1995,22
48,1996,29
49,1997,18
50,1998,14
51,1999,17
52,2000,1
53,2001,12
54,2002,20
55,2003,4
56,2004,12
57,2005,14
58,2006,12
59,2007,11
60,2008,13
61,2009,16
62,2010,3
63,2011,7
64,2012,4
42,1991,45
43,1992,29
44,1993,9
45,1994,26
46,1995,25
47,1996,36
48,1997,20
49,1998,16
50,1999,20
51,2000,1
52,2001,14
53,2002,25
54,2003,5
55,2004,14
56,2005,17
57,2006,14
58,2007,12
59,2008,15
60,2009,18
61,2010,3
62,2011,9
63,2012,4
41,1991,52
42,1992,34
43,1993,10
44,1994,30
45,1995,32
46,1996,46
47,1997,24
48,1998,19
49,1999,24
50,2000,1
51,2001,17
52,2002,27
53,2003,5
54,2004,17
55,2005,22
56,2006,16
57,2007,14
58,2008,17
59,2009,22
60,2010,3
61,2011,11
62,2012,4
40,1991,60
41,1992,43
42,1993,12
43,1994,35
44,1995,38
45,1996,57
46,1997,27
47,1998,22
48,1999,27
49,2000,1
50,2001,20
51,2002,33
52,2003,6
53,2004,20
54,2005,27
55,2006,19
56,2007,18
57,2008,20
58,2009,26
59,2010,3
60,2011,13
61,2012,4
39,1991,68
40,1992,52
41,1993,13
42,1994,40
43,1995,46
44,1996,70
45,1997,33
46,1998,25
47,1999,33
48,2000,1
49,2001,23
50,2002,38
51,2003,7
52,2004,23
53,2005,33
54,2006,22
55,2007,21
56,2008,24
57,2009,30
58,2010,2
59,2011,16
60,2012,4
38,1991,79
39,1992,62
40,1993,15
41,1994,45
42,1995,56
43,1996,87
44,1997,37
45,1998,31
46,1999,38
47,2000,1
48,2001,28
49,2002,46
50,2003,7
51,2004,26
52,2005,42
53,2006,26
54,2007,25
55,2008,29
56,2009,37
57,2010,2
58,2011,19
59,2012,4
37,1991,93
38,1992,76
39,1993,18
40,1994,51
41,1995,66
42,1996,107
43,1997,43
44,1998,35
45,1999,46
46,2000,1
47,2001,35
48,2002,54
49,2003,8
50,2004,30
51,2005,52
52,2006,31
53,2007,30
54,2008,34
55,2009,44
56,2010,3
57,2011,23
58,2012,4
36,1991,111
37,1992,92
38,1993,22
39,1994,59
40,1995,82
41,1996,133
42,1997,49
43,1998,39
44,1999,52
45,2000,1
46,2001,43
47,2002,64
48,2003,10
49,2004,35
50,2005,63
51,2006,38
52,2007,37
53,2008,41
54,2009,54
55,2010,3
56,2011,28
57,2012,4
35,1991,138
36,1992,116
37,1993,28
38,1994,65
39,1995,99
40,1996,162
41,1997,56
42,1998,45
43,1999,62
44,2000,1
45,2001,52
46,2002,75
47,2003,11
48,2004,42
49,2005,79
50,2006,44
51,2007,44
52,2008,47
53,2009,63
54,2010,3
55,2011,33
56,2012,5
34,1991,181
35,1992,147
36,1993,36
37,1994,76
38,1995,119
39,1996,198
40,1997,65
41,1998,52
42,1999,73
43,2000,1
44,2001,62
45,2002,89
46,2003,12
47,2004,48
48,2005,96
49,2006,51
50,2007,54
51,2008,57
52,2009,75
53,2010,4
54,2011,41
55,2012,7
33,1991,248
34,1992,191
35,1993,50
36,1994,87
37,1995,145
38,1996,240
39,1997,74
40,1998,59
41,1999,83
42,2000,1
43,2001,77
44,2002,105
45,2003,14
46,2004,56
47,2005,117
48,2006,59
49,2007,64
50,2008,66
51,2009,91
52,2010,4
53,2011,48
54,2012,8
32,1991,355
33,1992,257
34,1993,73
35,1994,103
36,1995,176
37,1996,289
38,1997,85
39,1998,68
40,1999,96
41,2000,2
42,2001,93
43,2002,122
44,2003,14
45,2004,66
46,2005,141
47,2006,69
48,2007,78
49,2008,78
50,2009,109
51,2010,5
52,2011,57
53,2012,9
31,1991,526
32,1992,359
33,1993,112
34,1994,126
35,1995,216
36,1996,350
37,1997,98
38,1998,78
39,1999,112
40,2000,4
41,2001,112
42,2002,146
43,2003,16
44,2004,76
45,2005,172
46,2006,82
47,2007,92
48,2008,92
49,2009,130
50,2010,5
51,2011,68
52,2012,11
30,1991,785
31,1992,519
32,1993,177
33,1994,165
34,1995,272
35,1996,420
36,1997,115
37,1998,90
38,1999,128
39,2000,6
40,2001,136
41,2002,170
42,2003,18
43,2004,89
44,2005,207
45,2006,94
46,2007,112
47,2008,108
48,2009,154
49,2010,6
50,2011,82
51,2012,13
29,1991,1153
30,1992,767
31,1993,293
32,1994,229
33,1995,349
34,1996,510
35,1997,136
36,1998,106
37,1999,146
38,2000,9
39,2001,163
40,2002,201
41,2003,21
42,2004,104
43,2005,249
44,2006,108
45,2007,133
46,2008,125
47,2009,183
48,2010,7
49,2011,97
50,2012,17
28,1991,1616
29,1992,1137
30,1993,487
31,1994,336
32,1995,461
33,1996,622
34,1997,167
35,1998,127
36,1999,166
37,2000,15
38,2001,197
39,2002,232
40,2003,26
41,2004,120
42,2005,300
43,2006,123
44,2007,157
45,2008,145
46,2009,217
47,2010,8
48,2011,114
49,2012,20
27,1991,2096
28,1992,1638
29,1993,797
30,1994,515
31,1995,637
32,1996,774
33,1997,216
34,1998,160
35,1999,191
36,2000,23
37,2001,236
38,2002,272
39,2003,30
40,2004,140
41,2005,356
42,2006,142
43,2007,185
44,2008,168
45,2009,257
46,2010,9
47,2011,134
48,2012,25
26,1991,2398
27,1992,2218
28,1993,1251
29,1994,802
30,1995,913
31,1996,983
32,1997,292
33,1998,207
34,1999,220
35,2000,36
36,2001,284
37,2002,319
38,2003,36
39,2004,164
40,2005,423
41,2006,163
42,2007,220
43,2008,194
44,2009,303
45,2010,12
46,2011,157
47,2012,31
25,1991,2285
26,1992,2669
27,1993,1815
28,1994,1224
29,1995,1336
30,1996,1281
31,1997,416
32,1998,284
33,1999,261
34,2000,56
35,2001,344
36,2002,378
37,2003,42
38,2004,190
39,2005,500
40,2006,184
41,2007,259
42,2008,222
43,2009,355
44,2010,14
45,2011,182
46,2012,39
24,1991,1687
25,1992,2655
26,1993,2298
27,1994,1743
28,1995,1944
29,1996,1700
30,1997,616
31,1998,407
32,1999,317
33,2000,85
34,2001,422
35,2002,449
36,2003,52
37,2004,223
38,2005,588
39,2006,208
40,2007,302
41,2008,253
42,2009,416
43,2010,16
44,2011,211
45,2012,48
23,1991,919
24,1992,1997
25,1993,2344
26,1994,2190
27,1995,2693
28,1996,2257
29,1997,934
30,1998,599
31,1999,404
32,2000,131
33,2001,525
34,2002,549
35,2003,66
36,2004,263
37,2005,684
38,2006,235
39,2007,353
40,2008,288
41,2009,486
42,2010,19
43,2011,244
44,2012,59
22,1991,426
23,1992,1062
24,1993,1731
25,1994,2230
26,1995,3343
27,1996,2895
28,1997,1387
29,1998,888
30,1999,541
31,2000,204
32,2001,675
33,2002,690
34,2003,86
35,2004,315
36,2005,793
37,2006,266
38,2007,409
39,2008,324
40,2009,563
41,2010,22
42,2011,279
43,2012,73
21,1991,251
22,1992,458
23,1993,815
24,1994,1656
25,1995,3427
26,1996,3396
27,1997,1939
28,1998,1289
29,1999,754
30,2000,324
31,2001,901
32,2002,903
33,2003,112
34,2004,389
35,2005,912
36,2006,302
37,2007,474
38,2008,363
39,2009,650
40,2010,26
41,2011,317
42,2012,90
20,1991,200
21,1992,262
22,1993,245
23,1994,801
24,1995,2637
25,1996,3388
26,1997,2405
27,1998,1759
28,1999,1063
29,2000,521
30,2001,1239
31,2002,1235
32,2003,150
33,2004,494
34,2005,1045
35,2006,345
36,2007,545
37,2008,405
38,2009,749
39,2010,30
40,2011,360
41,2012,110
19,1991,180
20,1992,212
21,1993,104
22,1994,269
23,1995,1421
24,1996,2649
25,1997,2442
26,1998,2137
27,1999,1445
28,2000,830
29,2001,1741
30,2002,1752
31,2003,199
32,2004,651
33,2005,1192
34,2006,402
35,2007,628
36,2008,447
37,2009,859
38,2010,37
39,2011,405
40,2012,134
18,1991,175
19,1992,190
20,1993,102
21,1994,134
22,1995,618
23,1996,1568
24,1997,1834
25,1998,2150
26,1999,1770
27,2000,1256
28,2001,2429
29,2002,2532
30,2003,263
31,2004,896
32,2005,1358
33,2006,479
34,2007,730
35,2008,496
36,2009,984
37,2010,44
38,2011,453
39,2012,163
17,1991,176
18,1992,180
19,1993,117
20,1994,133
21,1995,345
22,1996,823
23,1997,925
24,1998,1635
25,1999,1788
26,2000,1696
27,2001,3229
28,2002,3613
29,2003,343
30,2004,1274
31,2005,1563
32,2006,592
33,2007,852
34,2008,551
35,2009,1127
36,2010,53
37,2011,502
38,2012,197
16,1991,172
17,1992,176
18,1993,132
19,1994,146
20,1995,254
21,1996,511
22,1997,341
23,1998,883
24,1999,1334
25,2000,1890
26,2001,3855
27,2002,4875
28,2003,434
29,2004,1845
30,2005,1819
31,2006,765
32,2007,1012
33,2008,620
34,2009,1293
35,2010,68
36,2011,551
37,2012,237
15,1991,153
16,1992,167
17,1993,141
18,1994,160
19,1995,202
20,1996,359
21,1997,160
22,1998,384
23,1999,664
24,2000,1605
25,2001,3821
26,2002,5877
27,2003,530
28,2004,2639
29,2005,2153
30,2006,1023
31,2007,1238
32,2008,718
33,2009,1501
34,2010,88
35,2011,602
36,2012,285
14,1991,119
15,1992,146
16,1993,139
17,1994,169
18,1995,171
19,1996,255
20,1997,118
21,1998,211
22,1999,237
23,2000,1018
24,2001,2845
25,2002,5842
26,2003,617
27,2004,3587
28,2005,2577
29,2006,1407
30,2007,1563
31,2008,866
32,2009,1775
33,2010,123
34,2011,652
35,2012,342
13,1991,86
14,1992,115
15,1993,122
16,1994,165
17,1995,156
18,1996,189
19,1997,101
20,1998,152
21,1999,113
22,2000,567
23,2001,1456
24,2002,4328
25,2003,672
26,2004,4371
27,2005,3043
28,2006,1932
29,2007,2038
30,2008,1094
31,2009,2155
32,2010,181
33,2011,703
34,2012,412
12,1991,61
13,1992,79
14,1993,94
15,1994,145
16,1995,144
17,1996,153
18,1997,95
19,1998,120
20,1999,92
21,2000,343
22,2001,565
23,2002,2167
24,2003,678
25,2004,4435
26,2005,3375
27,2006,2545
28,2007,2690
29,2008,1447
30,2009,2701
31,2010,281
32,2011,758
33,2012,502
11,1991,58
12,1992,58
13,1993,64
14,1994,111
15,1995,126
16,1996,130
17,1997,96
18,1998,106
19,1999,87
20,2000,199
21,2001,284
22,2002,781
23,2003,620
24,2004,3426
25,2005,3269
26,2006,3044
27,2007,3464
28,2008,1946
29,2009,3496
30,2010,453
31,2011,813
32,2012,623
10,1991,75
11,1992,57
12,1993,43
13,1994,74
14,1995,100
15,1996,113
16,1997,93
17,1998,103
18,1999,84
19,2000,94
20,2001,209
21,2002,346
22,2003,504
23,2004,1902
24,2005,2546
25,2006,3075
26,2007,4094
27,2008,2545
28,2009,4595
29,2010,742
30,2011,876
31,2012,789
9,1991,107
10,1992,75
11,1993,38
12,1994,48
13,1995,75
14,1996,92
15,1997,83
16,1998,100
17,1999,83
18,2000,35
19,2001,166
20,2002,239
21,2003,354
22,2004,863
23,2005,1549
24,2006,2421
25,2007,4104
26,2008,3023
27,2009,5909
28,2010,1182
29,2011,940
30,2012,1022
8,1991,153
9,1992,107
10,1993,50
11,1994,40
12,1995,61
13,1996,78
14,1997,69
15,1998,90
16,1999,80
17,2000,10
18,2001,138
19,2002,190
20,2003,209
21,2004,463
22,2005,854
23,2006,1430
24,2007,3180
25,2008,2991
26,2009,7005
27,2010,1755
28,2011,1003
29,2012,1340
7,1991,224
8,1992,157
9,1993,73
10,1994,51
11,1995,66
12,1996,76
13,1997,52
14,1998,72
15,1999,72
16,2000,4
17,2001,117
18,2002,163
19,2003,99
20,2004,287
21,2005,542
22,2006,727
23,2007,1810
24,2008,2212
25,2009,7082
26,2010,2276
27,2011,1050
28,2012,1741
6,1991,327
7,1992,231
8,1993,110
9,1994,75
10,1995,89
11,1996,90
12,1997,45
13,1998,53
14,1999,60
15,2000,4
16,2001,103
17,2002,150
18,2003,36
19,2004,177
20,2005,375
21,2006,409
22,2007,871
23,2008,1104
24,2009,5606
25,2010,2365
26,2011,1051
27,2012,2161
5,1991,481
6,1992,344
7,1993,165
8,1994,110
9,1995,128
10,1996,119
11,1997,46
12,1998,42
13,1999,45
14,2000,5
15,2001,91
16,2002,142
17,2003,10
18,2004,116
19,2005,252
20,2006,237
21,2007,488
22,2008,391
23,2009,3342
24,2010,1753
25,2011,988
26,2012,2439
4,1991,715
5,1992,514
6,1993,254
7,1994,165
8,1995,186
9,1996,168
10,1997,61
11,1998,43
12,1999,37
13,2000,8
14,2001,77
15,2002,131
16,2003,3
17,2004,89
18,2005,163
19,2006,121
20,2007,307
21,2008,164
22,2009,1738
23,2010,800
24,2011,859
25,2012,2332
3,1991,1067
4,1992,779
5,1993,393
6,1994,250
7,1995,276
8,1996,238
9,1997,88
10,1998,58
11,1999,40
12,2000,13
13,2001,69
14,2002,117
15,2003,3
16,2004,82
17,2005,106
18,2006,55
19,2007,185
20,2008,104
21,2009,1022
22,2010,197
23,2011,693
24,2012,1741
2,1991,1603
3,1992,1185
4,1993,612
5,1994,384
6,1995,412
7,1996,339
8,1997,127
9,1998,82
10,1999,53
11,2000,20
12,2001,69
13,2002,104
14,2003,4
15,2004,76
16,2005,76
17,2006,29
18,2007,107
19,2008,70
20,2009,633
21,2010,35
22,2011,524
23,2012,963
1,1991,2423
2,1992,1815
3,1993,961
4,1994,593
5,1995,622
6,1996,489
7,1997,187
8,1998,119
9,1999,70
10,2000,30
11,2001,85
12,2002,107
13,2003,6
14,2004,71
15,2005,62
16,2006,23
17,2007,67
18,2008,50
19,2009,362
20,2010,15
21,2011,369
22,2012,451
1,1992,2805
2,1993,1520
3,1994,925
4,1995,950
5,1996,712
6,1997,280
7,1998,175
8,1999,100
9,2000,48
10,2001,117
11,2002,127
12,2003,10
13,2004,67
14,2005,65
15,2006,24
16,2007,51
17,2008,37
18,2009,197
19,2010,11
20,2011,236
21,2012,254
1,1993,2421
2,1994,1456
3,1995,1464
4,1996,1049
5,1997,426
6,1998,259
7,1999,144
8,2000,74
9,2001,168
10,2002,169
11,2003,14
12,2004,71
13,2005,77
14,2006,31
15,2007,48
16,2008,32
17,2009,116
18,2010,9
19,2011,138
20,2012,172
1,1994,2306
2,1995,2271
3,1996,1560
4,1997,654
5,1998,392
6,1999,210
7,2000,117
8,2001,239
9,2002,239
10,2003,22
11,2004,90
12,2005,97
13,2006,40
14,2007,54
15,2008,32
16,2009,85
17,2010,9
18,2011,75
19,2012,116
1,1995,3557
2,1996,2341
3,1997,1012
4,1998,597
5,1999,315
6,2000,183
7,2001,349
8,2002,341
9,2003,34
10,2004,120
11,2005,126
12,2006,52
13,2007,66
14,2008,37
15,2009,81
16,2010,9
17,2011,44
18,2012,76
1,1996,3548
2,1997,1583
3,1998,915
4,1999,476
5,2000,290
6,2001,512
7,2002,495
8,2003,48
9,2004,172
10,2005,166
11,2006,71
12,2007,84
13,2008,45
14,2009,91
15,2010,12
16,2011,31
17,2012,49
1,1997,2496
2,1998,1417
3,1999,731
4,2000,462
5,2001,759
6,2002,729
7,2003,69
8,2004,248
9,2005,221
10,2006,96
11,2007,110
12,2008,59
13,2009,111
14,2010,13
15,2011,28
16,2012,34
1,1998,2214
2,1999,1141
3,2000,736
4,2001,1138
5,2002,1086
6,2003,101
7,2004,363
8,2005,296
9,2006,132
10,2007,148
11,2008,77
12,2009,140
13,2010,18
14,2011,31
15,2012,29
1,1999,1799
2,2000,1179
3,2001,1721
4,2002,1641
5,2003,148
6,2004,538
7,2005,403
8,2006,186
9,2007,201
10,2008,102
11,2009,186
12,2010,24
13,2011,36
14,2012,31
1,2000,1898
2,2001,2632
3,2002,2509
4,2003,215
5,2004,809
6,2005,556
7,2006,269
8,2007,277
9,2008,140
10,2009,250
11,2010,34
12,2011,45
13,2012,39
1,2001,4070
2,2002,3873
3,2003,315
4,2004,1227
5,2005,775
6,2006,391
7,2007,390
8,2008,194
9,2009,341
10,2010,47
11,2011,57
12,2012,50
1,2002,6047
2,2003,462
3,2004,1880
4,2005,1096
5,2006,581
6,2007,561
7,2008,275
8,2009,473
9,2010,70
10,2011,71
11,2012,69
1,2003,677
2,2004,2912
3,2005,1567
4,2006,872
5,2007,811
6,2008,394
7,2009,669
8,2010,103
9,2011,95
10,2012,96
1,2004,4553
2,2005,2278
3,2006,1319
4,2007,1198
5,2008,578
6,2009,959
7,2010,156
8,2011,121
9,2012,133
1,2005,3358
2,2006,2019
3,2007,1791
4,2008,861
5,2009,1393
6,2010,240
7,2011,161
8,2012,188
1,2006,3120
2,2007,2711
3,2008,1299
4,2009,2057
5,2010,374
6,2011,213
7,2012,264
1,2007,4152
2,2008,1983
3,2009,3077
4,2010,590
5,2011,282
6,2012,378
1,2008,3066
2,2009,4663
3,2010,936
4,2011,380
5,2012,543
1,2009,7153
2,2010,1500
3,2011,514
4,2012,787
1,2010,2421
2,2011,703
3,2012,1150
1,2011,967
2,2012,1697
1,2012,2526
